Tabelle: 48112-0004
Unternehmen (EU), Waren- und Dienstleistungskäufe, ;;;;;;;;;;;;;;;;;;
Bruttoinvestitionen u.w. betriebsw. Kennzahlen: Deutschland,;;;;;;;;;;;;;;;;;;
Jahre, Wirtschaftszweige (WZ2008 1-4-Steller Hierarchie);;;;;;;;;;;;;;;;;;
Bereichsübergreifende Unternehmensstatistik;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;
;;Unternehmen (EU);Waren- und Dienstleistungskäufe;Käufe v.Waren u.DL z.Wiederverk. i.unveränd. Zust.;Aufwendungen für Leiharbeitnehmer;Käufe von Energieprodukten;Vorratsveränd. bei fertigen und unfertigen Waren;Vorratsveränderungen bei Waren;Vorratsveränderungen bei Waren f. d. Wiederverkauf;Bruttoinvestitionen in Sachanlagen;Bruttoinvestitionen in Maschinen und Ausrüstungen;Bruttoinvest. in langfrist. immat. Vermögenswerte;Kosten für Rohstoffe bzw. Rohstoffeinkauf;Rohstoffverbrauch;Handelswareneinsatz;Zahlungen an Unterauftragnehmer;Einkünfte aus Unteraufträgen;Kosten für Mieten und Pachten
;;Anzahl;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR
2018;;;;;;;;;;;;;;;;;;
WZ08-932;    Sonst. Dienstleistungen d.Unterhaltung u.Erholung;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-9321;      Vergnügungs- und Themenparks;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-9329;      Dienstleistungen d.Unterhaltung u.Erholung a.n.g.;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-S;Erbringung von sonstigen Dienstleistungen;13689;1788;738;20;.;.;-;.;78;.;.;.;.;.;.;.;-
WZ08-95;  Reparatur von DV-Geräten und Gebrauchsgütern;13689;1788;738;20;.;.;-;.;78;.;.;.;.;.;.;.;-
WZ08-951;    Reparatur von DV- und Telekommunikationsgeräten;1847;620;288;8;.;.;-;.;17;.;.;.;.;.;.;.;-
WZ08-9511;      Reparatur von DV-Geräten und peripheren Geräten;1427;317;125;4;.;.;-;.;12;.;.;.;.;.;.;.;-
WZ08-9512;      Reparatur von Telekommunikationsgeräten;420;303;163;5;.;.;-;.;6;.;.;.;.;.;.;.;-
WZ08-952;    Reparatur von Gebrauchsgütern;11842;1168;451;12;.;.;-;.;60;.;.;.;.;.;.;.;-
WZ08-9521;      Reparatur von Geräten der Unterhaltungselektronik;994;159;67;2;.;.;-;.;6;.;.;.;.;.;.;.;-
WZ08-9522;      Reparatur von elektr. Haushalts- und Gartengeräten;1223;237;120;1;.;.;-;.;10;.;.;.;.;.;.;.;-
WZ08-9523;      Reparatur von Schuhen und Lederwaren;1675;64;8;.;.;.;-;.;3;.;.;.;.;.;.;.;-
WZ08-9524;      Reparatur von Möbeln und Einrichtungsgegenständen;1194;126;38;2;.;.;-;.;10;.;.;.;.;.;.;.;-
WZ08-9525;      Reparatur von Uhren und Schmuck;558;32;7;.;.;.;-;.;1;.;.;.;.;.;.;.;-
WZ08-9529;      Reparatur von sonstigen Gebrauchsgütern;6198;550;211;7;.;.;-;.;31;.;.;.;.;.;.;.;-
WZ08-96;  Sonstige überwiegend persönliche Dienstleistungen;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-9601;      Wäscherei und chemische Reinigung;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-9602;      Frisör- und Kosmetiksalons;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-9603;      Bestattungswesen;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-9604;      Saunas, Solarien, Bäder und Ähnliches;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-9609;      Erbringung von sonstigen Dienstleistungen a.n.g.;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
;Insgesamt;2600925;4990023;2207646;34390;.;.;-;.;285361;.;.;.;.;.;.;.;-
2019;;;;;;;;;;;;;;;;;;
WZ08-B;Bergbau und Gewinnung von Steinen und Erden;1561;7217;2016;49;.;.;-;.;951;.;.;.;.;.;.;.;-
WZ08-05;  Kohlenbergbau;2;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-051;    Steinkohlenbergbau;1;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-052;    Braunkohlenbergbau;1;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-06;  Gewinnung von Erdöl und Erdgas;5;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-061;    Gewinnung von Erdöl;.;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-062;    Gewinnung von Erdgas;1;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-07;  Erzbergbau;.;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-071;    Eisenerzbergbau;1;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-072;    NE-Metallerzbergbau;2;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-0721;      Bergbau auf Uran- und Thoriumerze;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-0729;      Sonstiger NE-Metallerzbergbau;2;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-08;  Gewinnung von Steinen und Erden, sonstiger Bergbau;1438;.;.;.;.;.;-;.;658;.;.;.;.;.;.;.;-
WZ08-081;    Gewinnung von Natursteinen,Kies,Sand,Ton u. Kaolin;1320;4345;867;28;.;.;-;.;596;.;.;.;.;.;.;.;-
WZ08-0811;      Gew. von Natursteinen,Kalk-u.Gipsstein,Kreide usw;401;2410;653;12;.;.;-;.;246;.;.;.;.;.;.;.;-
WZ08-0812;      Gewinnung von Kies, Sand, Ton und Kaolin;919;1935;214;16;.;.;-;.;350;.;.;.;.;.;.;.;-
WZ08-089;    Sonst. Bergbau, Gewinnung v.Steinen u.Erden a.n.g.;118;.;.;.;.;.;-;.;62;.;.;.;.;.;.;.;-
WZ08-0891;      Bergbau auf chem. Minerale u. Düngemittelminerale;8;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-0892;      Torfgewinnung;70;297;82;1;.;.;-;.;21;.;.;.;.;.;.;.;-
WZ08-0893;      Gewinnung von Salz;4;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-0899;      Gewinnung von Steinen und Erden a.n.g.;36;.;.;.;.;.;-;.;10;.;.;.;.;.;.;.;-
WZ08-09;  Dienstleistungen f.d.Bergbau u.Gewinnung v.Steinen;113;214;0;11;.;.;-;.;21;.;.;.;.;.;.;.;-
WZ08-091;    Dienstleistungen f.d. Gewinnung v.Erdöl u.Erdgas;59;.;.;.;.;.;-;.;17;.;.;.;.;.;.;.;-
WZ08-099;    Dienstleistungen für den sonstigen Bergbau usw;54;.;.;.;.;.;-;.;4;.;.;.;.;.;.;.;-
WZ08-C;Verarbeitendes Gewerbe;212550;1703533;356934;18305;.;.;-;.;78679;.;.;.;.;.;.;.;-
WZ08-10;  Herstellung von Nahrungs- und Futtermitteln;26897;153231;21792;1783;.;.;-;.;5835;.;.;.;.;.;.;.;-
WZ08-101;    Schlachten und Fleischverarbeitung;9518;45061;3915;890;.;.;-;.;1246;.;.;.;.;.;.;.;-
WZ08-1011;      Schlachten (ohne Schlachten von Geflügel);875;15167;756;184;.;.;-;.;553;.;.;.;.;.;.;.;-
WZ08-1012;      Schlachten von Geflügel;108;3303;459;105;.;.;-;.;94;.;.;.;.;.;.;.;-
WZ08-1013;      Fleischverarbeitung;8535;26591;2700;602;.;.;-;.;599;.;.;.;.;.;.;.;-
WZ08-102;    Fischverarbeitung;200;2292;637;29;.;.;-;.;49;.;.;.;.;.;.;.;-
WZ08-103;    Obst- und Gemüseverarbeitung;776;8902;1193;135;.;.;-;.;376;.;.;.;.;.;.;.;-
WZ08-1031;      Kartoffelverarbeitung;64;2017;476;38;.;.;-;.;102;.;.;.;.;.;.;.;-
WZ08-1032;      Herstellung von Frucht- und Gemüsesäften;375;2642;220;17;.;.;-;.;116;.;.;.;.;.;.;.;-
WZ08-1039;      Sonstige Verarbeitung von Obst und Gemüse;337;4242;497;79;.;.;-;.;158;.;.;.;.;.;.;.;-
WZ08-104;    H.v. pflanzlichen und tierischen Ölen und Fetten;158;4673;1156;10;.;.;-;.;95;.;.;.;.;.;.;.;-
WZ08-1041;      H.v. Ölen und Fetten (ohne Margarine u.ä.);150;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-1042;      Herstellung von Margarine u. ä. Nahrungsfetten;8;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-105;    Milchverarbeitung;715;29897;4520;122;.;.;-;.;796;.;.;.;.;.;.;.;-
WZ08-1051;      Milchverarbeitung (ohne Herstellung von Speiseeis);385;29264;4411;108;.;.;-;.;772;.;.;.;.;.;.;.;-
WZ08-1052;      Herstellung von Speiseeis;330;633;108;14;.;.;-;.;24;.;.;.;.;.;.;.;-
WZ08-106;    Mahl- u. Schälmühlen, H.v. Stärke u.Stärkeerzeugn.;603;8110;1281;30;.;.;-;.;348;.;.;.;.;.;.;.;-
WZ08-1061;      Mahl- und Schälmühlen;582;.;.;.;.;.;-;.;252;.;.;.;.;.;.;.;-
WZ08-1062;      Herstellung von Stärke und Stärkeerzeugnissen;21;.;.;.;.;.;-;.;96;.;.;.;.;.;.;.;-
WZ08-107;    Herstellung von Back- und Teigwaren;12308;13923;1755;203;.;.;-;.;1179;.;.;.;.;.;.;.;-
WZ08-1071;      Herstellung von Backwaren (ohne Dauerbackwaren);11952;11161;1338;154;.;.;-;.;998;.;.;.;.;.;.;.;-
WZ08-1072;      Herstellung von Dauerbackwaren;182;2414;395;47;.;.;-;.;161;.;.;.;.;.;.;.;-
WZ08-1073;      Herstellung von Teigwaren;174;348;23;2;.;.;-;.;20;.;.;.;.;.;.;.;-
WZ08-108;    Herstellung von sonstigen Nahrungsmitteln;1960;29631;5053;272;.;.;-;.;1516;.;.;.;.;.;.;.;-
WZ08-1081;      Herstellung von Zucker;7;2291;349;16;.;.;-;.;108;.;.;.;.;.;.;.;-
WZ08-1082;      Herstellung von Süßwaren (ohne Dauerbackwaren);394;9067;1546;101;.;.;-;.;527;.;.;.;.;.;.;.;-
WZ08-1083;      Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;420;3040;455;23;.;.;-;.;136;.;.;.;.;.;.;.;-
WZ08-1084;      Herstellung von Würzmitteln und Soßen;181;2368;165;36;.;.;-;.;156;.;.;.;.;.;.;.;-
WZ08-1085;      Herstellung von Fertiggerichten;270;1828;108;32;.;.;-;.;81;.;.;.;.;.;.;.;-
WZ08-1086;      H.v.homogenisierten u.diätetischen Nahrungsmitteln;76;976;9;8;.;.;-;.;62;.;.;.;.;.;.;.;-
WZ08-1089;      Herstellung von sonstigen Nahrungsmitteln a.n.g.;612;10061;2421;56;.;.;-;.;447;.;.;.;.;.;.;.;-
WZ08-109;    Herstellung von Futtermitteln;660;10741;2283;91;.;.;-;.;232;.;.;.;.;.;.;.;-
WZ08-1091;      Herstellung von Futtermitteln für Nutztiere;334;7324;1449;20;.;.;-;.;102;.;.;.;.;.;.;.;-
WZ08-1092;      Herstellung von Futtermitteln für sonstige Tiere;326;3417;834;71;.;.;-;.;129;.;.;.;.;.;.;.;-
WZ08-11;  Getränkeherstellung;2435;16416;1868;124;.;.;-;.;1455;.;.;.;.;.;.;.;-
WZ08-1101;      Herstellung von Spirituosen;782;1701;123;10;.;.;-;.;57;.;.;.;.;.;.;.;-
WZ08-1102;      Herstellung von Traubenwein;304;1687;219;8;.;.;-;.;75;.;.;.;.;.;.;.;-
WZ08-1103;      Herstellung von Apfelwein und anderen Fruchtweinen;137;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-1104;      H.v. Wermutwein u. sonstigen aromatisierten Weinen;5;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-1105;      Herstellung von Bier;903;5818;459;58;.;.;-;.;801;.;.;.;.;.;.;.;-
WZ08-1106;      Herstellung von Malz;35;663;47;3;.;.;-;.;14;.;.;.;.;.;.;.;-
WZ08-1107;      H.v. Erfrischungsgetränken, Mineralwassergewinnung;270;6412;1015;44;.;.;-;.;505;.;.;.;.;.;.;.;-
WZ08-12;  Tabakverarbeitung;62;7021;3694;25;.;.;-;.;195;.;.;.;.;.;.;.;-
WZ08-13;  Herstellung von Textilien;4637;8741;833;79;.;.;-;.;366;.;.;.;.;.;.;.;-
WZ08-131;    Spinnstoffaufbereitung und Spinnerei;104;477;39;4;.;.;-;.;20;.;.;.;.;.;.;.;-
WZ08-132;    Weberei;223;1258;144;6;.;.;-;.;37;.;.;.;.;.;.;.;-
WZ08-133;    Veredlung von Textilien und Bekleidung;1724;901;37;6;.;.;-;.;29;.;.;.;.;.;.;.;-
WZ08-139;    Herstellung von sonstigen Textilwaren;2586;6106;613;64;.;.;-;.;280;.;.;.;.;.;.;.;-
WZ08-1391;      Herstellung von gewirktem und gestricktem Stoff;149;445;24;1;.;.;-;.;15;.;.;.;.;.;.;.;-
WZ08-1392;      H.v. konfektionierten Textilwaren (oh. Bekleidung);1085;1733;123;22;.;.;-;.;68;.;.;.;.;.;.;.;-
WZ08-1393;      Herstellung von Teppichen;93;443;22;9;.;.;-;.;11;.;.;.;.;.;.;.;-
WZ08-1394;      Herstellung von Seilerwaren;95;156;13;3;.;.;-;.;4;.;.;.;.;.;.;.;-
WZ08-1395;      H.v. Vliesstoff u. Erzeugn. daraus (oh.Bekleidung);62;1299;179;10;.;.;-;.;50;.;.;.;.;.;.;.;-
WZ08-1396;      Herstellung von technischen Textilien;517;1664;211;13;.;.;-;.;98;.;.;.;.;.;.;.;-
WZ08-1399;      Herstellung von sonstigen Textilwaren a.n.g.;585;365;39;6;.;.;-;.;33;.;.;.;.;.;.;.;-
WZ08-14;  Herstellung von Bekleidung;3306;5472;863;34;.;.;-;.;264;.;.;.;.;.;.;.;-
WZ08-141;    Herstellung von Bekleidung (ohne Pelzbekleidung);2951;4863;783;32;.;.;-;.;221;.;.;.;.;.;.;.;-
WZ08-1411;      Herstellung von Lederbekleidung;72;.;.;.;.;.;-;.;1;.;.;.;.;.;.;.;-
WZ08-1412;      Herstellung von Arbeits- und Berufsbekleidung;132;437;35;1;.;.;-;.;11;.;.;.;.;.;.;.;-
WZ08-1413;      Herstellung von sonstiger Oberbekleidung;1882;3342;637;29;.;.;-;.;189;.;.;.;.;.;.;.;-
WZ08-1414;      Herstellung von Wäsche;144;690;60;1;.;.;-;.;10;.;.;.;.;.;.;.;-
WZ08-1419;      H.v. sonst.Bekleidung u.Bekleidungszubehör a.n.g.;721;.;.;.;.;.;-;.;10;.;.;.;.;.;.;.;-
WZ08-142;    Herstellung von Pelzwaren;128;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-143;    H.v. Bekleidung aus gewirktem u. gestricktem Stoff;227;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-1431;      Herstellung von Strumpfwaren;105;481;75;.;.;.;-;.;40;.;.;.;.;.;.;.;-
WZ08-1439;      H.v. sonst.Bekleidung aus gewirktem u.gestr.Stoff;122;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-15;  Herstellung von Leder, Lederwaren und Schuhen;1371;2141;206;34;.;.;-;.;92;.;.;.;.;.;.;.;-
WZ08-151;    H.v. Leder und Lederwaren (oh.H.v.Lederbekleidung);974;496;29;8;.;.;-;.;16;.;.;.;.;.;.;.;-
WZ08-1511;      H.v. Leder-u.-faserstoff,Zuricht.u.Färben v.Fellen;89;355;4;6;.;.;-;.;13;.;.;.;.;.;.;.;-
WZ08-1512;      Lederverarbeitung (ohne H.v. Lederbekleidung);885;141;25;2;.;.;-;.;3;.;.;.;.;.;.;.;-
WZ08-152;    Herstellung von Schuhen;397;1645;177;26;.;.;-;.;76;.;.;.;.;.;.;.;-
WZ08-16;  H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);12944;19522;1535;185;.;.;-;.;1117;.;.;.;.;.;.;.;-
WZ08-161;    Säge-, Hobel- und Holzimprägnierwerke;2238;5621;569;45;.;.;-;.;348;.;.;.;.;.;.;.;-
WZ08-162;    H.v. sonstigen Holz-, Kork-, Flecht- und Korbwaren;10706;13901;966;140;.;.;-;.;768;.;.;.;.;.;.;.;-
WZ08-1621;      H.v. Furnier-, Sperrh.-, Holzfaserpl.- u. -spanpl.;211;4295;333;45;.;.;-;.;325;.;.;.;.;.;.;.;-
WZ08-1622;      Herstellung von Parketttafeln;34;284;11;2;.;.;-;.;4;.;.;.;.;.;.;.;-
WZ08-1623;      H.v. sonst.Konstr.-, Fertigbauteilen u.Ä. aus Holz;7569;7049;353;54;.;.;-;.;337;.;.;.;.;.;.;.;-
WZ08-1624;      H.v. Verpackungsmitteln,Lagerbehältern u.Ä. a.Holz;826;1494;176;35;.;.;-;.;65;.;.;.;.;.;.;.;-
WZ08-1629;      H.v. Holzwaren a.n.g., Kork-, Flecht- u. Korbwaren;2066;778;94;3;.;.;-;.;37;.;.;.;.;.;.;.;-
WZ08-17;  Herstellung von Papier, Pappe und Waren daraus;1558;32199;5636;206;.;.;-;.;2165;.;.;.;.;.;.;.;-
WZ08-171;    H.v. Holz- u. Zellstoff, Papier, Karton u. Pappe;262;12406;1552;32;.;.;-;.;968;.;.;.;.;.;.;.;-
WZ08-1711;      Herstellung von Holz- und Zellstoff;21;.;.;.;.;.;-;.;48;.;.;.;.;.;.;.;-
WZ08-1712;      Herstellung von Papier, Karton und Pappe;241;.;.;.;.;.;-;.;920;.;.;.;.;.;.;.;-
WZ08-172;    Herstellung von Waren aus Papier, Karton und Pappe;1296;19792;4084;174;.;.;-;.;1197;.;.;.;.;.;.;.;-
WZ08-1721;      H.v. Wellpapier und -pappe, Verpackungsmitteln;641;10920;1178;104;.;.;-;.;616;.;.;.;.;.;.;.;-
WZ08-1722;      H.v. Haushalts- u. Hygieneartikeln a.Zellstoff usw;74;5864;2360;47;.;.;-;.;433;.;.;.;.;.;.;.;-
WZ08-1723;      H.v. Schreibwaren, Bürobedarf aus Papier und Pappe;212;931;254;5;.;.;-;.;21;.;.;.;.;.;.;.;-
WZ08-1724;      Herstellung von Tapeten;18;302;16;2;.;.;-;.;10;.;.;.;.;.;.;.;-
WZ08-1729;      H.v. sonstigen Waren aus Papier, Karton und Pappe;351;1776;275;16;.;.;-;.;117;.;.;.;.;.;.;.;-
WZ08-18;  H.v. Druckerz., Vervielf.v.Ton-,Bild-,Datenträgern;10986;11873;593;121;.;.;-;.;746;.;.;.;.;.;.;.;-
WZ08-181;    Herstellung von Druckerzeugnissen;10559;.;.;.;.;.;-;.;734;.;.;.;.;.;.;.;-
WZ08-1811;      Drucken von Zeitungen;127;.;.;.;.;.;-;.;10;.;.;.;.;.;.;.;-
WZ08-1812;      Drucken anderweitig nicht genannt;7091;9906;462;87;.;.;-;.;592;.;.;.;.;.;.;.;-
WZ08-1813;      Druck- und Medienvorstufe;2550;836;87;5;.;.;-;.;114;.;.;.;.;.;.;.;-
WZ08-1814;      Binden v.Druckerzeugn. u.damit verb. Dienstleistg.;790;404;33;12;.;.;-;.;18;.;.;.;.;.;.;.;-
WZ08-182;    Vervielf.v. bespielten Ton-, Bild- u. Datenträgern;427;.;.;.;.;.;-;.;12;.;.;.;.;.;.;.;-
WZ08-19;  Kokerei und Mineralölverarbeitung;89;69334;18812;34;.;.;-;.;1534;.;.;.;.;.;.;.;-
WZ08-191;    Kokerei;2;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-192;    Mineralölverarbeitung;.;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-20;  Herstellung von chemischen Erzeugnissen;3280;128824;34750;797;.;.;-;.;6534;.;.;.;.;.;.;.;-
WZ08-201;    Herstellung von chemischen Grundstoffen u.a.;1031;81019;21418;464;.;.;-;.;4577;.;.;.;.;.;.;.;-
WZ08-2011;      Herstellung von Industriegasen;33;987;96;11;.;.;-;.;105;.;.;.;.;.;.;.;-
WZ08-2012;      Herstellung von Farbstoffen und Pigmenten;71;3016;548;21;.;.;-;.;111;.;.;.;.;.;.;.;-
WZ08-2013;      H.v.sonst.anorganischen Grundstoffen u.Chemikalien;152;4417;217;23;.;.;-;.;332;.;.;.;.;.;.;.;-
WZ08-2014;      H.v.sonst. organischen Grundstoffen u.Chemikalien;253;46326;15019;312;.;.;-;.;2654;.;.;.;.;.;.;.;-
WZ08-2015;      H.v. Düngemitteln und Stickstoffverbindungen;104;3131;543;15;.;.;-;.;393;.;.;.;.;.;.;.;-
WZ08-2016;      Herstellung von Kunststoffen in Primärformen;401;22230;4991;78;.;.;-;.;914;.;.;.;.;.;.;.;-
WZ08-2017;      H.v. synthetischem Kautschuk in Primärformen;17;912;3;4;.;.;-;.;68;.;.;.;.;.;.;.;-
WZ08-202;    H.v. Schädlingsbekämpfungs- u.Desinfektionsmitteln;69;843;35;12;.;.;-;.;46;.;.;.;.;.;.;.;-
WZ08-203;    H.v. Anstrichmitteln, Druckfarben und Kitten;377;9161;1630;66;.;.;-;.;394;.;.;.;.;.;.;.;-
WZ08-204;    H.v.Seifen,Wasch-,Reinigungs-u.Körperpflegemitteln;913;12635;2402;129;.;.;-;.;779;.;.;.;.;.;.;.;-
WZ08-2041;      H.v. Seifen, Wasch-, Reinigungs- und Poliermitteln;402;6318;985;54;.;.;-;.;275;.;.;.;.;.;.;.;-
WZ08-2042;      H.v. Körperpflegemitteln und Duftstoffen;511;6317;1417;75;.;.;-;.;504;.;.;.;.;.;.;.;-
WZ08-205;    H.v. sonstigen chemischen Erzeugnissen;851;23558;9201;109;.;.;-;.;632;.;.;.;.;.;.;.;-
WZ08-2051;      Herstellung von pyrotechnischen Erzeugnissen;56;231;85;3;.;.;-;.;10;.;.;.;.;.;.;.;-
WZ08-2052;      Herstellung von Klebstoffen;66;763;65;7;.;.;-;.;50;.;.;.;.;.;.;.;-
WZ08-2053;      Herstellung von etherischen Ölen;39;1795;221;5;.;.;-;.;55;.;.;.;.;.;.;.;-
WZ08-2059;      H.v. sonstigen chemischen Erzeugnissen a.n.g.;690;20770;8831;93;.;.;-;.;517;.;.;.;.;.;.;.;-
WZ08-206;    Herstellung von Chemiefasern;40;1608;64;16;.;.;-;.;107;.;.;.;.;.;.;.;-
WZ08-21;  Herstellung von pharmazeutischen Erzeugnissen;554;52773;17299;419;.;.;-;.;2882;.;.;.;.;.;.;.;-
WZ08-211;    Herstellung von pharmazeutischen Grundstoffen;79;719;58;5;.;.;-;.;93;.;.;.;.;.;.;.;-
WZ08-212;    H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;474;52054;17241;414;.;.;-;.;2789;.;.;.;.;.;.;.;-
WZ08-22;  Herstellung von Gummi- und Kunststoffwaren;7090;66863;10838;897;.;.;-;.;3865;.;.;.;.;.;.;.;-
WZ08-221;    Herstellung von Gummiwaren;796;14955;3984;194;.;.;-;.;650;.;.;.;.;.;.;.;-
WZ08-2211;      Herstellung und Runderneuerung von Bereifungen;248;6477;2547;64;.;.;-;.;263;.;.;.;.;.;.;.;-
WZ08-2219;      Herstellung von sonstigen Gummiwaren;548;8478;1437;130;.;.;-;.;387;.;.;.;.;.;.;.;-
WZ08-222;    Herstellung von Kunststoffwaren;6293;51908;6854;704;.;.;-;.;3215;.;.;.;.;.;.;.;-
WZ08-2221;      H.v. Platten, Folien usw aus Kunststoffen;1107;17182;2526;166;.;.;-;.;846;.;.;.;.;.;.;.;-
WZ08-2222;      H.v. Verpackungsmitteln aus Kunststoffen;620;8380;482;117;.;.;-;.;724;.;.;.;.;.;.;.;-
WZ08-2223;      H.v. Baubedarfsartikeln aus Kunststoffen;1334;7757;2107;75;.;.;-;.;271;.;.;.;.;.;.;.;-
WZ08-2229;      Herstellung von sonstigen Kunststoffwaren;3232;18589;1739;345;.;.;-;.;1375;.;.;.;.;.;.;.;-
WZ08-23;  H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;9908;34500;4714;543;.;.;-;.;2878;.;.;.;.;.;.;.;-
WZ08-231;    Herstellung von Glas und Glaswaren;1223;8076;817;155;.;.;-;.;854;.;.;.;.;.;.;.;-
WZ08-2311;      Herstellung von Flachglas;42;804;31;9;.;.;-;.;89;.;.;.;.;.;.;.;-
WZ08-2312;      Veredlung und Bearbeitung von Flachglas;506;3023;288;58;.;.;-;.;241;.;.;.;.;.;.;.;-
WZ08-2313;      Herstellung von Hohlglas;168;2200;151;51;.;.;-;.;307;.;.;.;.;.;.;.;-
WZ08-2314;      Herstellung von Glasfasern und Waren daraus;75;1240;237;23;.;.;-;.;105;.;.;.;.;.;.;.;-
WZ08-2319;      H.,Veredlg.u.Bearb.v.sonst.Glas, techn.Glaswaren;432;809;110;15;.;.;-;.;111;.;.;.;.;.;.;.;-
WZ08-232;    H.v. feuerfesten keramischen Werkstoffen und Waren;99;1112;210;9;.;.;-;.;41;.;.;.;.;.;.;.;-
WZ08-233;    Herstellung von keramischen Baumaterialien;238;1888;323;30;.;.;-;.;177;.;.;.;.;.;.;.;-
WZ08-2331;      H.v. keramischen Wand- u.Bodenfliesen u.-platten;100;511;97;5;.;.;-;.;31;.;.;.;.;.;.;.;-
WZ08-2332;      Herstellung von Ziegeln und sonstiger Baukeramik;138;1377;226;24;.;.;-;.;146;.;.;.;.;.;.;.;-
WZ08-234;    H.v. sonst. Porzellan- u. keramischen Erzeugnissen;931;1841;568;26;.;.;-;.;191;.;.;.;.;.;.;.;-
WZ08-2341;      H.v. keramischen Haushaltswaren u.Ziergegenständen;636;225;26;2;.;.;-;.;12;.;.;.;.;.;.;.;-
WZ08-2342;      Herstellung von Sanitärkeramik;52;.;.;.;.;.;-;.;25;.;.;.;.;.;.;.;-
WZ08-2343;      H.v. Isolatoren und Isolierteilen aus Keramik;14;.;.;.;.;.;-;.;8;.;.;.;.;.;.;.;-
WZ08-2344;      H.v. keramischen Erzeugnissen f.sonst.techn.Zwecke;85;735;193;16;.;.;-;.;132;.;.;.;.;.;.;.;-
WZ08-2349;      Herstellung von sonstigen keramischen Erzeugnissen;144;164;30;.;.;.;-;.;13;.;.;.;.;.;.;.;-
WZ08-235;    Herstellung von Zement, Kalk und gebranntem Gips;42;4194;569;26;.;.;-;.;469;.;.;.;.;.;.;.;-
WZ08-2351;      Herstellung von Zement;18;3563;534;22;.;.;-;.;385;.;.;.;.;.;.;.;-
WZ08-2352;      Herstellung von Kalk und gebranntem Gips;24;631;35;4;.;.;-;.;84;.;.;.;.;.;.;.;-
WZ08-236;    H.v. Erzeugnissen aus Beton, Zement und Gips;1851;10804;1293;223;.;.;-;.;680;.;.;.;.;.;.;.;-
WZ08-2361;      H.v. Erzeugn. aus Beton, Zement u. Kalksandstein;1155;6369;661;177;.;.;-;.;425;.;.;.;.;.;.;.;-
WZ08-2362;      Herstellung von Gipserzeugnissen für den Bau;32;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-2363;      Herstellung von Frischbeton (Transportbeton);336;1880;79;13;.;.;-;.;128;.;.;.;.;.;.;.;-
WZ08-2364;      Herstellung von Mörtel u.a. Beton (Trockenbeton);128;1076;210;9;.;.;-;.;58;.;.;.;.;.;.;.;-
